,ID,Latitude,Longitude,Name,Price,Rating,Zipcode
0,eKLAzm8srt0MXCyADnP7Qw,36.0573207798087,-95.7979317381978,Happy Plate World Class Cuisine,$,4.5,74012
1,yVByjIkZrtU1lWRxL7OJxg,36.0515091,-95.7915861,Laurannae Baking Co.,$$,5.0,74012
2,Pj1L7j6kwIuPLOSOAeVqPg,36.059357,-95.814336,Trang Le,$$,4.5,74012
3,Av0v4qziFS_w3lTzJS20CQ,36.0586051940918,-95.8147583007812,Mazzio's Italian Eatery,NA,4.0,74012
4,0pJvHMXzKUbG23paNUjHmg,36.0509901,-95.7909349,The Rooftop,$$,3.5,74012
5,VzuuptgPgOZX7cvMUc09Sw,36.0462651,-95.8145757,Tandoori Guys,$$,4.0,74012
6,Nubuc1Cbyn4Zf7evQ9IbVQ,36.061332,-95.81441,Starbucks,$$,3.0,74012
7,zcSzQPbEHCVs87M5Fh8D7w,36.0615997314453,-95.8301773071289,Ted's Cafe Escondido,$$,3.5,74012
8,YxKkRNieUki_8ukAJuviMg,36.0612335,-95.7972717,Cookies by Design,NA,1.0,74012
9,RLwyf_x0NKiOAeLIshh7hg,36.057095,-95.7906351,Romeos Espresso Cafe,$,4.0,74012
10,ixVStwpj0JCeZn18I9CWRw,36.0507049560547,-95.7911682128906,Andolini's Pizzeria,$$,4.0,74012
