,ID,Latitude,Longitude,Name,Price,Rating,Zipcode
0,uQmakHT7TWCM0NJ2qciVZw,41.87416,-87.79389,Obsessed Kitchen and Bar,$$,4.0,60304
1,AzK2A_9KTXTle4X8M1C8-w,41.8724594116211,-87.77783203125,Clean Meals Organics,$$,5.0,60304
2,NH4a1qTfaAf0qow79xjz6g,41.8718713,-87.7937778,Oak Park Bakery,$,4.5,60304
3,u8A1rF4C4yhv6lYuuv55Bw,41.8728485107422,-87.7801895141602,The Happy Apple Pie Shop,$,5.0,60304
4,G5xNszfJXh0WpvdcInoqKg,41.87252,-87.77966,MORA Asian Kitchen,NA,3.0,60304
5,YbsVzK3NBgpESo0Kwy1V-w,41.87241,-87.78059,Trattoria 225,$$,3.5,60304
6,umkGtKBQQVSZKOOKfpbryw,41.87401,-87.79371,Margaritas,$$,3.5,60304
7,6zfgUYehnnHOg57tD9y8SQ,41.87201,-87.804044,Lola Tining's Cuisine,$,4.5,60304
8,Ocie05DGFWQnpqBaU4P3Lw,41.87361,-87.7937,Sen Sushi Bar,$$,4.5,60304
9,3iTbG62mk7dCe3apyAz-hg,41.8728249,-87.7801334,District Kitchen & Tap,$,3.5,60304
10,GQPk0MBZmZg1P_oehMsotQ,41.872403,-87.779402,Buzz Cafe,$$,3.5,60304
