,ID,Latitude,Longitude,Name,Price,Rating,Zipcode
0,SYHDOHRNAH-2xsw3XB5qbg,34.4291692910298,-119.688921492653,The Shop Kitchen,$$,4.5,93103
1,tf6S06LD09IFDHUpOPqPaw,34.4188894304103,-119.675410488361,East Beach Tacos,$,4.5,93103
2,PtaFDKkhxSjcXz6dVM0uLw,34.42533,-119.685,Deux Bakery,$$,5.0,93103
3,JB5tlC_7u5IHT2Z_GHN-qw,34.42297,-119.68705,Daily Greenz,NA,4.5,93103
4,Qkg16mN-8QR66gjzg6gMyw,34.417321,-119.672225952148,Convivo Restaurant and Bar,$$,4.0,93103
5,RtJC7xavgAxOITQyAlGCbQ,34.4181830275621,-119.673899251423,Tri-County Produce Co,$$,4.5,93103
6,r8tU21scBflMxWiBESPtRQ,34.430012903465,-119.689825556047,Shang Hai,$$,4.5,93103
7,Iw3lHwjwIjvfsgVOwpF_UQ,34.4242597,-119.6822915,Trader Joe's,$$$,4.0,93103
8,gdEZfd6RFXYmmXX71RDvbA,34.4221121,-119.6975104,C'est Cheese,$$,4.5,93103
9,k1XGvBoPAXdPoGC2W-f2aA,34.4178811,-119.6999881,Kanaloa Seafood,$$,4.0,93103
10,6RBZfirnzE4NahJTn1UPNA,34.42803,-119.68713,La Super-Rica Taqueria,$,4.0,93103
11,YgbIbmfDlB-bZSsjuIfKwA,34.4214687,-119.6784544,Jack's Bistro and Famous Bagels,$,3.5,93103
12,G9rBwcWp56C8r6ZFwVuimA,34.4388519,-119.7043733,Belmond El Encanto Dining Room,$$$,3.0,93103
13,wvD7TOuE-qUhkyXoi8K8hA,34.42305,-119.68144,Taqueria El Bajio,$,4.0,93103
14,Qsoq2TGOe59LZy7z6KbQjA,34.4276051223278,-119.687172845006,Domino's Pizza,$$,1.5,93103
