,ID,Latitude,Longitude,Name,Price,Rating,Zipcode
0,pDr9PC7jD7LBnLgJxD_4wQ,42.1991299,-87.93302,Bonta,$$,4.5,60069
1,nS0liS2vfKpxk5XyBLszzA,42.178435,-87.926218,Wildfire,$$$,4.0,60069
2,a3WhBeY3HK8Q81TQDQRDkA,42.20229,-87.92953,Egg Harbor Café,$$,4.0,60069
3,Ts7lGPNq6fL30Iy7tHkj-Q,42.1823321778731,-87.9288211174673,Kona Grill,$$,3.5,60069
4,f_XBZ8h_mKNjI0HV0unbZw,42.19967,-87.93308,Strawberry Field Pancakes and Cafe,$$,3.0,60069
5,xDYYl7FnqDGKf72FaZYv5A,42.1820005473226,-87.9289900039988,Menchie's Lincolnshire Commons,$,4.5,60069
6,hwW3nQ7BwVdI1gX8SJKNAA,42.194362,-87.931605,Walker Bros Original Pancake House,$$,4.0,60069
7,kF3JRcezhy5N4MSquVQtRg,42.17861,-87.92576,Big Bowl,$$,3.5,60069
8,SyDq8YXZFB7m3SQCt_e53A,42.202418,-87.930964,Half Day Brewing,$$,3.0,60069
9,kQ8P6uzhNF9wpMeFtvrA2w,42.18458,-87.9281,Marigold Maison - Lincolnshire,$$,4.0,60069
10,Jh9TzUucNKsq3M6shUI_EA,42.1803612028903,-87.928278194875,Red Robin Gourmet Burgers,$$,3.0,60069
11,ueekbnHdI42iPYMtniJhyw,42.1800310673938,-87.9268238544465,Viper Alley,NA,3.5,60069
12,CY3X-YgUvoGwRE0FBkij9w,42.1818427686767,-87.9286114578769,Fleming's Prime Steakhouse & Wine Bar,$$$,4.0,60069
13,MNdI3UJr3dPPATB5MBMehg,42.182873178688,-87.92842735872,The Cheesecake Factory,$$,3.0,60069
14,BE4vdX9Tjr7h88aFDov6qw,42.2036299,-87.93211,Eddie Merlot's Lincolnshire,$$$,3.5,60069
15,5JNA2cVZYSmFvzqcc8TeOQ,42.184850105064,-87.927427441627,Noodles & Company,$,3.0,60069
