,ID,Latitude,Longitude,Name,Price,Rating,Zipcode
0,ZyVnWKb87hJbJyP2BHRlJQ,30.01807,-90.18809,Reginelli's Pizzeria,$$,4.0,70006
1,lUiY3W4JOdpWBXq32KvDGw,30.0159246987652,-90.1901310682297,Waffles on Maple,$$,3.0,70006
2,vaCu8cDUYihdO3ug__zpoA,30.0174151360989,-90.1999942213297,The Pizza Shoppe,$,4.0,70006
3,mFdcvwmYS-m1eHIonnTQyQ,30.0035435806913,-90.1836739338684,Zea Rotisserie & Bar,$$,4.0,70006
4,k3sED9tpGEOtzhGxvcxTrw,30.0044664,-90.1804512,Izzo's Illegal Burrito,$,3.5,70006
5,p7-1xG891NdGrcYBMOvxpw,30.0049251522217,-90.1908968823225,Bonefish Grill,$$,3.5,70006
6,qa-CZKEwd8eQcNdXXnLlzA,30.005456,-90.1796536,Zoes Kitchen,$$,3.5,70006
7,mDsElkXohOsEOH46cpx_Xw,30.0059806329406,-90.1876523780193,Carrabba's Italian Grill,$$,3.0,70006
8,TZw1VM4-B6HLS0ZPXs-hHQ,30.004314,-90.180209,Starbucks,$,3.5,70006
9,HJqZ_Cp2_-EPC5_IHqbxpg,30.0063,-90.19102,Don's Seafood,$$,3.0,70006
