,ID,Latitude,Longitude,Name,Price,Rating,Zipcode
0,BVl9X09rW-E1NCcMCyC92A,34.0550954204,-84.23240904732,Sally's Gluten Free Bakery,$,4.5,30022
1,b9gjwmXPFZ9HEBMGwS_8zw,34.051057,-84.224581,Arepita Cafe,$$,4.5,30022
2,h9kyTTJlHYzYkv7GhJgZyg,34.051057,-84.224581,Avocado Vegan Cafe and Juice Bar,$,4.5,30022
3,PB0GqW1cYWUb0fBeOJVMdA,34.022303,-84.2679173,Reveille Coffeehouse Cafe,$$,4.5,30022
4,AOG6RgzwBFqn8doIeID6zQ,34.0499,-84.22532,Freeze Cream,NA,5.0,30022
5,99Yv0uu3FkikxaO0FJWUJw,34.023147,-84.25159,Stone's Cuisine & Cocktails,$$,4.5,30022
6,LbZU76YjubK1BOnXRVqQ3A,34.022951,-84.251844,Marlow's Tavern,$$,4.0,30022
7,j6xeCD-nxt_TDHCOEQ2zjA,34.0572835297738,-84.2347028413984,Publix Supermarket,$$,4.5,30022
8,98pNGfOYlA2W3Xmxpp9SfQ,34.0202905823537,-84.2724886847125,The Fresh Market,$$$,3.5,30022
9,kn5lblJVo9D2VSdPKkpfQg,34.02068,-84.27264,Village Burger-Johns Creek,$,4.0,30022
10,gqavBGGxUqR2HuxSA606zg,34.02068,-84.27264,Charlton's Grill and Tap,$$,3.5,30022
11,Wpb0FeAeZiKMkf5ORG-OOQ,34.02068,-84.27264,Santino's,$$,3.5,30022
12,sJsMug8mEabzSTkz1wE55w,34.0459923414181,-84.2251932621002,Mari's Cucina and Social House,$$,4.0,30022
13,BqJkFZWrJio6UH-ZKTG4tg,34.047997,-84.225095,Pampas Steakhouse,$$$,4.0,30022
14,ACb3J9nZMLJboJsxDYg0Ig,34.021791,-84.268125,Starbucks,$,2.5,30022
15,QDSV4HyjV3joXx6K7IGPkw,34.05004,-84.225123,Flying Biscuit Cafe,$$,3.5,30022
16,uqX_XH_I0GXDjbo15BDbLA,34.0571812546793,-84.2329052644345,Chick-fil-A,$,3.0,30022
17,0PXBHc6l0y9YvApUiSGsmA,34.0231040955289,-84.2703772556808,Altobeli's Italian Restaurant & Piano Bar,$$,3.5,30022
18,qFT0IFTWydMyu-dINcelDg,34.0212871276443,-84.2706975889608,Senor Patron,$$,3.5,30022
19,OLEaMxm6nTUcFJ1jLTwwhA,34.0577812968911,-84.2334754625007,Wendy's,$,2.0,30022
20,JkqyXlNg11UorpcH_pTqlA,34.051057,-84.224581,Inchin's Bamboo Garden,$$,3.0,30022
21,fUeXD73PlKYD3vydLM5dLw,34.0570782864943,-84.2339584387586,Taco Mac,$$,2.5,30022
