,ID,Name,Zipcode,Latitude,Longitude,Price,Rating
0,oxFYsJfNkM9wfBt8Q9zuVA,Heartland,92620,33.7049903869629,-117.772750854492,$$,5.0
1,QIGHqwIuxhxfiDzUvSpntw,Mokkoji Shabu Shabu Bar,92620,33.696218448726,-117.762677311898,$$,4.0
2,Jcpo0wZfey_YaNzhk8vmGQ,The Counter Custom Burgers,92620,33.6981321871319,-117.741269767284,$$,3.5
3,klIcSvaoMc6SvtJ3hqj4HA,First Class Pizza,92620,33.698329301952,-117.7409720909,$$,4.0
4,eIRqDyeoWZ-S_2QwFGZohA,Chick-fil-A,92620,33.6991599947883,-117.740018105379,$,4.0
5,uOZHsVhP07ujrTU9joMS5g,Trader Joe's,92620,33.6984579889247,-117.742924690247,$,4.5
6,G4sqfCMNCbgu_Vim9uChAQ,Beijing Restaurant,92620,33.71316,-117.76168,$$,3.5
7,gfEfU3jN3KX6IgBHa33g3Q,Olive Oil Mediterranean Grill,92620,33.695844,-117.76469,$$,4.0
8,IGufgNgFeCZy1k4R0O_PKA,Nekter Juice Bar,92620,33.6975010062393,-117.743198264559,$$,4.0
9,ELTJau865wnzYayWxhInKA,Falafel4you,92620,33.6946341300684,-117.76493991062,NA,5.0
10,lIRk4THtIjBM-DaMMvNkrA,Fish District,92620,33.6972289000589,-117.743125695808,$$,4.0
11,0tdhVJ_26Z2CwiLsn9lbjg,Zion Market,92620,33.7123530476525,-117.760731259835,$,3.0
12,Nkjf_pDz4Jo12u-hYUap7A,Playland Cafe,92620,33.6919708251953,-117.76725769043,$$,3.5
13,P76bdceIwmVe4F7OVhfTYA,Tomikawa Japanese Restaurant,92620,33.695571341358,-117.76487489854,$$,3.5
14,nZqFNXxpQy4Je1OdnF8sPg,Ralphs,92620,33.696834681198,-117.74261900278,$$,3.5
15,I4ALtt-2GwDpJaO5smETOw,Starbucks,92620,33.6973258195883,-117.740792,$,3.0
16,qzq9e4vo82mqQP2eKHxY9Q,Starbucks,92620,33.696174,-117.762849,$,3.5
17,Fj-EL0vEKz1-NrsXwt0i5Q,Chipotle Mexican Grill,92620,33.698387,-117.740911078476,$,2.5
18,Qngj1a4yZpLdEox2VHvwWg,Panera Bread,92620,33.6975146883346,-117.741033863367,$,2.5
