,ID,Name,Zipcode,Latitude,Longitude,Price,Rating,IsGlutenFree
0,seBTUb95ax1DJ7SdHeBbUw,Café Santorini,91103,34.1466051,-118.1518944,$$,4.0,1
1,cYQOQA6EwvunfGSHLBvgeg,Sage Vegan Bistro,91103,34.1463349,-118.1512962,$$,4.0,1
2,gWh55W-4UJYU7NTYGxGUbg,Union,91103,34.146963,-118.1496096,$$$,4.0,1
3,QV5v8QpNpLbQoC8ZJtE1FA,Ramen Tatsunoya,91103,34.1460254755853,-118.150425667589,$$,4.0,1
4,rBqrYNoNv952ydDbTHc2Rg,Slater's 50/50 - Pasadena,91103,34.1468878,-118.1491113,$$,4.0,1
5,9DpCuYwjZu9BWacCUocVAQ,The Pan,91103,34.14778,-118.14934,$$,4.5,1
6,IcRzqqfup9TMdMlF8rS2Sg,Lincoln,91103,34.17998,-118.15933,$$,3.5,1
7,eUw1Yx6FSQ-X_jutsxNFkQ,Blaze Fast-Fire'd Pizza,91103,34.156735,-118.151944,$,4.0,1
8,4nddN8S46bMUvIYC-gi9HA,Wheat Shop,91103,34.1464638,-118.1490249,$,4.0,1
9,XB8faWRI7qmp2_FCPyridA,Tibet Nepal House,91103,34.1475051,-118.1496825,$$,4.0,1
10,32KR9bQKbyfomaZVWGfMiA,California Chutney,91103,34.1466648089307,-118.149048257078,$,4.0,1
11,gvpM1i1ebhC62_DHf0EMhg,Marston's,91103,34.14979,-118.14732,$$,3.5,1
12,yLZBhXLm1m2B8_z1zbGX2g,The Rococo Room,91103,34.1467038440938,-118.152101846922,NA,4.5,1
13,GN96gw1wGA3-f4Zh3GpNhg,Chado Tea Room,91103,34.1472001,-118.1490349,$$,4.0,1
14,BLiOWfQee5Jb4W1s-GQn_A,CREPEstudio,91103,34.146877,-118.148332,$$,4.0,1
15,j15FKwAn4klEks3Z9cOmNA,Russell's,91103,34.1464014646863,-118.150378455651,$$,4.0,1
16,wNYNUdLFbP6b8Oak7KjwoA,Mandarin Garden,91103,34.1580299,-118.15091,$$,2.5,1
17,tX5TtlFfGqkVqNgVYHPu5A,Mama M Sushi & Rolls,91103,34.14777,-118.1497974,$$,4.0,1
18,6ZTsJgyT89y4cQZJpMsuYA,Meat District,91103,34.1470688,-118.1489112,$$,3.5,1
19,3V0vnA7tAJZSJtIdJnYACQ,Sushi Roku,91103,34.1464138613828,-118.151796382817,$$$,4.0,1
20,q_cLNSQ_3HoHhLFiKPuiyg,Il Fornaio,91103,34.1462851807376,-118.151158300002,$$,3.5,1
21,7MzIlic-uzqaU35qERON2g,Harlowe's French Dip,91103,34.1468831,-118.1497099,$$,4.0,1
22,-t_2iFZvjk7vZEPB6OXyXA,POP Champagne Bar & Restaurant,91103,34.146867,-118.14971,$$,3.5,1
23,lW0RlsoTxHYLjUXlr4LnYQ,Home Brewed Bar,91103,34.1466421670749,-118.147850489477,$,4.5,1
24,2qANU4gRM8JJcF2In2KaGg,Waffles de Liege,91103,34.1477801,-118.1500457,$,4.5,1
25,03-PzdtLZ_9QWOxf_60Osw,The Taco Guy Catering,91103,34.1468784,-118.1486589,NA,4.5,1
26,gOOWXpQ5dREOJd3wA3j-nA,Hey That's Amore,91103,34.1477761,-118.1499617,$,4.0,1
27,ESV5R-rdKCjiG4BtKFED0A,The Kitchen Italian Cafe & Pizzeria,91103,34.14658,-118.15211,$$,3.5,1
28,yjES6n_FvhHO35U_iVImNA,King Taco,91103,34.1465116,-118.1477726,$,3.5,1
29,ofw4trv073wFXdiJs_wBQQ,Tea Rose Garden,91103,34.1470714,-118.1485992,$$,3.5,1
30,tIGV6bNCLjdAzaRtB2ZuNA,Intelligentsia Coffee,91103,34.14607,-118.14926,$$,4.0,1
0,seBTUb95ax1DJ7SdHeBbUw,Café Santorini,91103,34.1466051,-118.1518944,$$,4.0,0
1,HmbZNTSG0HTWralCGpX9Kg,Osawa Shabu Shabu & Sushi,91103,34.1471685557797,-118.149086762449,$$,4.5,0
2,BdvLJrF_oXxbYgRhs8X-XQ,Bone Kettle,91103,34.1470861160768,-118.14909864217,$$,4.0,0
3,Kjagw6z3u9o-7Qb-NrEb6w,Fishwives,91103,34.1473284832148,-118.150331312987,$$,4.5,0
4,gWh55W-4UJYU7NTYGxGUbg,Union,91103,34.146963,-118.1496096,$$$,4.0,0
5,QV5v8QpNpLbQoC8ZJtE1FA,Ramen Tatsunoya,91103,34.1460254755853,-118.150425667589,$$,4.0,0
6,KcQGQQQlTJTbBVkzQksf4A,Eden Garden Bar & Grill,91103,34.1477649,-118.1469868,$$,4.0,0
7,ynbEiaoM-uhCTxe1aPIVvA,Maestro Restaurant,91103,34.1467311089622,-118.148001090669,$$,4.0,0
8,cYQOQA6EwvunfGSHLBvgeg,Sage Vegan Bistro,91103,34.1463349,-118.1512962,$$,4.0,0
